layer,timestep,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,46,24,False,native,24,0.937996,0.92204,0.945275,0.023235,0.92748,0.911682,0.954629,0.827316,0.95952,24,0.967999,0.959435,0.971867,0.012432,0.962052,0.953801,0.976788,0.905499,0.979342,0.00156,24,0.001507,24,0.919922,24,105.0,24,,0,0.092607,24
0,47,24,False,native,24,0.933835,0.912953,0.94595,0.032997,0.924825,0.910037,0.952336,0.820818,0.959953,24,0.965783,0.954496,0.972224,0.017728,0.960587,0.9529,0.975586,0.901593,0.979567,0.001484,24,0.001507,24,0.933594,24,99.0,24,,0,0.091023,24
0,48,24,False,native,24,0.934538,0.913745,0.945772,0.032028,0.923931,0.903482,0.950048,0.826564,0.959953,24,0.966158,0.954928,0.97213,0.017203,0.96013,0.949294,0.974384,0.905048,0.979567,0.001328,24,0.00148,24,0.931641,24,100.5,24,,0,0.089447,24
0,49,24,False,native,24,0.939677,0.910414,0.946982,0.036569,0.924852,0.901035,0.950619,0.83969,0.951906,24,0.9689,0.953106,0.972769,0.019663,0.960681,0.947942,0.974684,0.912861,0.975361,0.001472,24,0.001488,24,0.914062,24,103.5,24,,0,0.088911,24
1,0,24,False,native,24,0.959953,0.951371,0.963495,0.012124,0.957368,0.94136,0.967834,0.93404,0.975074,24,0.979567,0.975079,0.981408,0.006329,0.97819,0.969794,0.983654,0.965895,0.98738,0.001289,24,0.001427,24,0.753906,24,109.5,24,0.999648,24,0.101109,24
1,1,24,False,native,24,0.959088,0.951207,0.962481,0.011274,0.954994,0.937193,0.968227,0.919262,0.97566,24,0.979117,0.974985,0.980882,0.005897,0.976929,0.967578,0.983857,0.957933,0.98768,0.001434,24,0.00148,24,0.777344,24,113.5,24,,0,0.100976,24
1,2,24,False,native,24,0.957431,0.948276,0.96277,0.014495,0.954856,0.937291,0.969027,0.930814,0.97244,24,0.978253,0.973445,0.981032,0.007587,0.976866,0.967631,0.98427,0.964168,0.986028,0.001472,24,0.001511,24,0.767578,24,109.0,24,,0,0.101126,24
1,3,24,False,native,24,0.959377,0.949926,0.963567,0.013641,0.955576,0.936643,0.971287,0.919123,0.972733,24,0.979267,0.974309,0.981445,0.007136,0.977232,0.967285,0.985434,0.957858,0.986178,0.001457,24,0.001564,24,0.746094,24,109.5,24,,0,0.101491,24
1,4,24,False,native,24,0.959376,0.949805,0.965778,0.015973,0.956683,0.936858,0.972895,0.922449,0.9761,24,0.979267,0.974253,0.982591,0.008338,0.977811,0.967398,0.986261,0.95966,0.987906,0.00145,24,0.001556,24,0.720703,24,106.0,24,,0,0.101703,24
1,5,24,False,native,24,0.958728,0.950906,0.968795,0.017889,0.957967,0.939444,0.971418,0.929835,0.975367,24,0.978929,0.974835,0.98415,0.009315,0.978491,0.968773,0.985502,0.963642,0.98753,0.001549,24,0.001583,24,0.728516,24,108.0,24,,0,0.101922,24
1,6,24,False,native,24,0.959232,0.952157,0.969559,0.017402,0.958697,0.939119,0.972499,0.927878,0.976394,24,0.979192,0.975492,0.984544,0.009052,0.978869,0.9686,0.986058,0.96259,0.988056,0.001476,24,0.001694,24,0.710938,24,111.0,24,,0,0.102169,24
1,7,24,False,native,24,0.958367,0.953448,0.970032,0.016584,0.958707,0.938736,0.973713,0.923977,0.975807,24,0.978741,0.976168,0.984788,0.00862,0.978869,0.968397,0.986681,0.960487,0.987755,0.001667,24,0.001553,24,0.720703,24,104.5,24,,0,0.102416,24
1,8,24,False,native,24,0.957288,0.953052,0.971601,0.018549,0.958974,0.938945,0.974342,0.929136,0.975074,24,0.978178,0.975962,0.985596,0.009634,0.97901,0.96851,0.987004,0.963266,0.98738,0.001575,24,0.001537,24,0.726562,24,100.0,24,,0,0.102599,24
1,9,24,False,native,24,0.957071,0.952228,0.97171,0.019482,0.958493,0.938603,0.974166,0.927739,0.9761,24,0.978065,0.97553,0.985652,0.010122,0.97876,0.968329,0.986914,0.962515,0.987906,0.001392,24,0.001553,24,0.726562,24,98.5,24,,0,0.102777,24
1,10,24,False,native,24,0.957359,0.952944,0.970252,0.017307,0.958517,0.939169,0.973537,0.928577,0.975954,24,0.978215,0.975905,0.984901,0.008996,0.978772,0.96863,0.986591,0.962966,0.987831,0.001461,24,0.001476,24,0.732422,24,98.0,24,0.999635,24,0.102938,24
1,11,24,False,native,24,0.958223,0.952121,0.971018,0.018897,0.958741,0.94085,0.974942,0.924951,0.976687,24,0.978666,0.975473,0.985295,0.009822,0.978885,0.969524,0.987312,0.961013,0.988206,0.001637,24,0.001495,24,0.732422,24,105.0,24,,0,0.103073,24
1,12,24,False,native,24,0.958439,0.951477,0.970288,0.018811,0.958526,0.940794,0.972762,0.926623,0.97566,24,0.978779,0.975135,0.98492,0.009784,0.978779,0.969494,0.986193,0.961914,0.98768,0.001507,24,0.001488,24,0.736328,24,101.0,24,,0,0.103181,24
1,13,24,False,native,24,0.960747,0.949726,0.969013,0.019286,0.95822,0.937419,0.97462,0.923838,0.976834,24,0.97998,0.974215,0.984262,0.010047,0.97861,0.967698,0.987147,0.960412,0.988281,0.001293,24,0.001385,24,0.71875,24,102.5,24,,0,0.103263,24
1,14,24,False,native,24,0.959448,0.951156,0.969668,0.018511,0.957643,0.936363,0.972674,0.922449,0.976394,24,0.979304,0.974966,0.9846,0.009634,0.978309,0.967135,0.986148,0.95966,0.988056,0.001495,24,0.001472,24,0.722656,24,103.5,24,,0,0.103306,24
1,15,24,False,native,24,0.960891,0.950298,0.967957,0.017659,0.957397,0.934913,0.9744,0.916775,0.9761,24,0.980056,0.974515,0.983718,0.009202,0.978174,0.966361,0.987034,0.956581,0.987906,0.001549,24,0.001568,24,0.732422,24,105.5,24,,0,0.103321,24
1,16,24,False,native,24,0.961108,0.952085,0.967194,0.015109,0.957785,0.939776,0.974489,0.916913,0.979185,24,0.980168,0.975454,0.983323,0.007869,0.978378,0.968953,0.987079,0.956656,0.989483,0.001419,24,0.001484,24,0.728516,24,103.5,24,,0,0.103324,24
1,17,24,False,native,24,0.961325,0.951155,0.965886,0.014731,0.957019,0.937998,0.974943,0.914982,0.977421,24,0.980281,0.974966,0.982647,0.007681,0.977974,0.968006,0.987312,0.955604,0.988582,0.001358,24,0.001419,24,0.726562,24,107.0,24,,0,0.103306,24
1,18,24,False,native,24,0.961108,0.953195,0.965886,0.012692,0.957495,0.941006,0.974723,0.918156,0.979332,24,0.980168,0.976037,0.982647,0.006611,0.978225,0.969606,0.9872,0.957332,0.989558,0.001385,24,0.001385,24,0.728516,24,105.0,24,,0,0.103259,24
1,19,24,False,native,24,0.959593,0.951477,0.965705,0.014228,0.957402,0.943585,0.974269,0.913881,0.980363,24,0.97938,0.975135,0.982553,0.007418,0.978174,0.970974,0.986967,0.955003,0.990084,0.001404,24,0.001503,24,0.742188,24,109.0,24,,0,0.103231,24
1,20,24,False,native,24,0.960386,0.951548,0.965379,0.01383,0.957954,0.94553,0.973743,0.919539,0.981542,24,0.979793,0.975173,0.982384,0.007212,0.978472,0.972003,0.986696,0.958083,0.990685,0.001469,24,0.001495,24,0.740234,24,107.5,24,0.999626,24,0.103205,24
1,21,24,False,native,24,0.96053,0.95291,0.965342,0.012432,0.958064,0.947067,0.974518,0.919677,0.978009,24,0.979868,0.975886,0.982366,0.006479,0.978534,0.972814,0.987094,0.958158,0.988882,0.00153,24,0.001488,24,0.740234,24,107.0,24,,0,0.103137,24
1,22,24,False,native,24,0.960169,0.9542,0.965596,0.011396,0.958315,0.947125,0.972733,0.921201,0.980068,24,0.97968,0.976562,0.982497,0.005934,0.978669,0.972844,0.986178,0.958984,0.989934,0.001484,24,0.001484,24,0.753906,24,110.0,24,,0,0.103043,24
1,23,24,False,native,24,0.96053,0.953052,0.965596,0.012545,0.958333,0.949063,0.974928,0.917879,0.978891,24,0.979868,0.975962,0.982497,0.006535,0.978675,0.973866,0.987305,0.957181,0.989333,0.001488,24,0.001465,24,0.763672,24,110.5,24,,0,0.102939,24
