timestep,sparsity,routing_precision,retained_fraction,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
6,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.988127,0.982538,0.991622,0.009084,0.985173,0.97301,0.994008,0.904435,0.997299,720,0.994028,0.991192,0.995793,0.004601,0.992501,0.986321,0.996995,0.94982,0.998648,0.001617,720,0.001656,720,0.294922,720,107.5,720,,0,1e-06,720
6,0.9,nvfp4,0.1,720,False,native,720,0.971126,0.960097,0.979516,0.019419,0.967085,0.944209,0.985384,0.823312,0.992665,720,0.985352,0.979642,0.989652,0.01001,0.983164,0.971304,0.992638,0.903095,0.996319,0.001617,720,0.001656,720,0.617188,720,109.0,720,,0,0.106396,720
6,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.971272,0.960494,0.979627,0.019133,0.967062,0.943925,0.985547,0.822688,0.99192,720,0.985427,0.979849,0.989709,0.00986,0.983152,0.971154,0.992721,0.902719,0.995944,0.001617,720,0.001659,720,0.625,720,110.5,720,,0,0.106221,720
7,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.992218,0.989512,0.99395,0.004438,0.990596,0.984265,0.995006,0.941464,0.997046,720,0.996094,0.994728,0.996966,0.002238,0.995267,0.99207,0.997497,0.96985,0.998521,0.000999,720,0.000999,720,0.371094,720,118.0,720,,0,1e-06,720
7,0.8,nvfp4,0.2,720,False,native,720,0.98062,0.973413,0.98472,0.011308,0.976925,0.960665,0.987263,0.891196,0.99267,720,0.990215,0.986527,0.992301,0.005774,0.988289,0.979938,0.993591,0.942468,0.996321,0.000999,720,0.000999,720,0.734375,720,118.0,720,,0,0.106279,720
7,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.98062,0.973339,0.98472,0.011381,0.976909,0.960665,0.987196,0.890789,0.992368,720,0.990215,0.986489,0.992301,0.005812,0.98828,0.979938,0.993557,0.942241,0.99617,0.000999,720,0.000992,720,0.730469,720,118.0,720,,0,0.106101,720
7,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.988424,0.982575,0.991622,0.009047,0.985214,0.974181,0.99371,0.869663,0.997749,720,0.994178,0.991211,0.995793,0.004582,0.992519,0.986922,0.996845,0.930288,0.998873,0.001659,720,0.001686,720,0.289062,720,107.0,720,,0,1e-06,720
7,0.9,nvfp4,0.1,720,False,native,720,0.971345,0.960386,0.979774,0.019388,0.967097,0.943556,0.985562,0.811896,0.992218,720,0.985464,0.979793,0.989784,0.009991,0.983168,0.970959,0.992728,0.896184,0.996094,0.001659,720,0.001686,720,0.621094,720,107.5,720,,0,0.106279,720
7,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.971126,0.960241,0.979774,0.019532,0.967077,0.943343,0.985532,0.811773,0.992367,720,0.985352,0.979718,0.989784,0.010066,0.983158,0.970846,0.992713,0.896109,0.996169,0.001659,720,0.001701,720,0.617188,720,106.0,720,,0,0.106101,720
8,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.992293,0.98955,0.99395,0.004401,0.990655,0.984272,0.995157,0.951234,0.997198,720,0.996132,0.994747,0.996966,0.002219,0.995297,0.992074,0.997573,0.975008,0.998597,0.001003,720,0.000969,720,0.371094,720,115.0,720,,0,1e-06,720
