timestep,sparsity,routing_precision,retained_fraction,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
7,0.9,nvfp4,0.1,720,False,native,720,0.975074,0.965161,0.98169,0.016529,0.970524,0.951777,0.986732,0.815355,0.992665,720,0.98738,0.982272,0.99076,0.008489,0.984952,0.975293,0.993322,0.898287,0.996319,0.001698,720,0.001687,720,0.568359,720,0.0,720,,0,0.106279,720
7,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.975074,0.96498,0.98169,0.01671,0.970511,0.951034,0.986569,0.815231,0.992516,720,0.98738,0.982178,0.99076,0.008582,0.984945,0.974902,0.993239,0.898212,0.996244,0.001698,720,0.00169,720,0.5625,720,0.0,720,,0,0.106101,720
8,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.995157,0.993649,0.996064,0.002415,0.994254,0.990857,0.996819,0.975279,0.998257,720,0.997573,0.996814,0.998028,0.001214,0.997116,0.995407,0.998407,0.987485,0.999128,0.001158,720,0.001175,720,0.246094,720,0.0,720,,0,1e-06,720
8,0.8,nvfp4,0.2,720,False,native,720,0.982482,0.975205,0.98629,0.011085,0.978808,0.965114,0.988462,0.892485,0.99267,720,0.991164,0.987447,0.993098,0.005651,0.989254,0.982247,0.994198,0.943189,0.996321,0.001158,720,0.001169,720,0.699219,720,0.0,720,,0,0.106219,720
8,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.982296,0.975057,0.986253,0.011196,0.978762,0.965268,0.988387,0.892214,0.992444,720,0.991069,0.987371,0.993079,0.005708,0.98923,0.982327,0.99416,0.943037,0.996208,0.001158,720,0.001163,720,0.699219,720,0.0,720,,0,0.106037,720
8,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.993262,0.990431,0.995054,0.004624,0.991733,0.985665,0.996251,0.911133,0.998349,720,0.99662,0.995192,0.997521,0.002329,0.995839,0.992781,0.998122,0.953501,0.999174,0.001685,720,0.001686,720,0.175781,720,0.0,720,,0,1e-06,720
8,0.9,nvfp4,0.1,720,False,native,720,0.975221,0.96469,0.981542,0.016853,0.970619,0.951921,0.986866,0.807468,0.992218,720,0.987455,0.982027,0.990685,0.008658,0.985001,0.975368,0.993389,0.89348,0.996094,0.001685,720,0.001715,720,0.5625,720,0.0,720,,0,0.106219,720
8,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.975147,0.9644,0.981542,0.017142,0.970592,0.951162,0.986732,0.807713,0.991771,720,0.987417,0.981877,0.990685,0.008808,0.984986,0.97497,0.993322,0.89363,0.995868,0.001685,720,0.001718,720,0.5625,720,0.0,720,,0,0.106037,720
9,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.995006,0.993479,0.996064,0.002584,0.994219,0.991165,0.996751,0.9738,0.998181,720,0.997497,0.996729,0.998028,0.001299,0.997098,0.995563,0.998373,0.986726,0.99909,0.001184,720,0.001163,720,0.25,720,0.0,720,,0,1e-06,720
9,0.8,nvfp4,0.2,720,False,native,720,0.982258,0.97539,0.986159,0.010769,0.978786,0.965795,0.988537,0.890993,0.992368,720,0.99105,0.987542,0.993031,0.00549,0.989242,0.9826,0.994235,0.942354,0.99617,0.001184,720,0.001143,720,0.697266,720,0.0,720,,0,0.106154,720
9,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.982296,0.975279,0.98614,0.010861,0.978735,0.965795,0.988537,0.890925,0.992368,720,0.991069,0.987485,0.993022,0.005537,0.989216,0.9826,0.994235,0.942316,0.99617,0.001184,720,0.00115,720,0.699219,720,0.0,720,,0,0.10597,720
9,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.993411,0.990691,0.995054,0.004363,0.991793,0.985962,0.996251,0.913193,0.998499,720,0.996695,0.995324,0.997521,0.002197,0.995869,0.992931,0.998122,0.954627,0.999249,0.001709,720,0.001709,720,0.171875,720,0.0,720,,0,1e-06,720
9,0.9,nvfp4,0.1,720,False,native,720,0.975147,0.964146,0.981726,0.01758,0.970753,0.950891,0.987029,0.807222,0.993411,720,0.987417,0.981746,0.990779,0.009033,0.985069,0.974827,0.993472,0.893329,0.996695,0.001709,720,0.001698,720,0.560547,720,0.0,720,,0,0.106154,720
9,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.975074,0.96411,0.981837,0.017727,0.97067,0.950862,0.987014,0.806977,0.994008,720,0.98738,0.981727,0.990835,0.009108,0.985027,0.974812,0.993465,0.893179,0.996995,0.001709,720,0.001708,720,0.558594,720,0.0,720,,0,0.10597,720
10,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.995082,0.99363,0.996064,0.002434,0.99425,0.990789,0.996744,0.976167,0.998106,720,0.997535,0.996805,0.998028,0.001223,0.997114,0.995373,0.998369,0.98794,0.999052,0.001181,720,0.001174,720,0.246094,720,0.0,720,0.999975,720,1e-06,720
10,0.8,nvfp4,0.2,720,False,native,720,0.982407,0.974891,0.98629,0.011399,0.978788,0.965341,0.988462,0.893913,0.992745,720,0.991126,0.987286,0.993098,0.005812,0.989244,0.982365,0.994198,0.943985,0.996359,0.001181,720,0.001179,720,0.699219,720,0.0,720,0.999761,720,0.106117,720
10,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.982333,0.974835,0.986159,0.011324,0.97876,0.965334,0.988462,0.893845,0.992519,720,0.991088,0.987257,0.993031,0.005774,0.989229,0.982361,0.994198,0.943947,0.996245,0.001181,720,0.001171,720,0.699219,720,0.0,720,0.999761,720,0.105934,720
10,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.993411,0.990431,0.995054,0.004624,0.991846,0.985976,0.996565,0.912232,0.998349,720,0.996695,0.995192,0.997521,0.002329,0.995895,0.992939,0.99828,0.954102,0.999174,0.001702,720,0.001701,720,0.167969,720,0.0,720,0.999975,720,1e-06,720
10,0.9,nvfp4,0.1,720,False,native,720,0.975514,0.963965,0.982022,0.018057,0.970915,0.95162,0.987162,0.808573,0.994008,720,0.987605,0.981652,0.990929,0.009277,0.985153,0.97521,0.99354,0.894156,0.996995,0.001702,720,0.001699,720,0.560547,720,0.0,720,0.999761,720,0.106117,720
10,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.975367,0.96411,0.982132,0.018022,0.970886,0.951334,0.987014,0.808819,0.99371,720,0.98753,0.981727,0.990986,0.009259,0.985138,0.97506,0.993465,0.894306,0.996845,0.001702,720,0.001704,720,0.558594,720,0.0,720,0.999761,720,0.105934,720
11,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.995006,0.993574,0.996139,0.002566,0.994255,0.99109,0.996744,0.976908,0.998257,720,0.997497,0.996776,0.998066,0.001289,0.997117,0.995525,0.998369,0.988319,0.999128,0.001171,720,0.001176,720,0.25,720,0.0,720,,0,1e-06,720
11,0.8,nvfp4,0.2,720,False,native,720,0.982333,0.975409,0.986159,0.010751,0.978764,0.965664,0.98832,0.896092,0.992368,720,0.991088,0.987551,0.993031,0.00548,0.989232,0.982532,0.994125,0.945199,0.99617,0.001171,720,0.00117,720,0.703125,720,0.0,720,,0,0.106038,720
11,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.982184,0.975409,0.986215,0.010807,0.978729,0.965546,0.988312,0.89616,0.992444,720,0.991012,0.987551,0.99306,0.005509,0.989214,0.982471,0.994122,0.945237,0.996208,0.001171,720,0.001172,720,0.705078,720,0.0,720,,0,0.10586,720
11,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.993411,0.99084,0.995054,0.004214,0.991948,0.986421,0.996401,0.912781,0.998049,720,0.996695,0.995399,0.997521,0.002122,0.995947,0.993164,0.998197,0.954402,0.999023,0.001716,720,0.001717,720,0.169922,720,0.0,720,,0,1e-06,720
11,0.9,nvfp4,0.1,720,False,native,720,0.976247,0.9644,0.98228,0.01788,0.971074,0.951706,0.986866,0.806242,0.992814,720,0.987981,0.981877,0.991061,0.009183,0.985234,0.975255,0.993389,0.892728,0.996394,0.001716,720,0.001701,720,0.546875,720,0.0,720,,0,0.106038,720
11,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.975954,0.964581,0.982427,0.017846,0.97105,0.951878,0.987014,0.805629,0.992964,720,0.987831,0.981971,0.991136,0.009165,0.985221,0.975346,0.993465,0.892353,0.996469,0.001716,720,0.001726,720,0.546875,720,0.0,720,,0,0.10586,720
12,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.995157,0.993555,0.996139,0.002584,0.994313,0.991157,0.996819,0.976612,0.998106,720,0.997573,0.996767,0.998066,0.001299,0.997146,0.995559,0.998407,0.988167,0.999052,0.00117,720,0.001181,720,0.244141,720,0.0,720,,0,1e-06,720
12,0.8,nvfp4,0.2,720,False,native,720,0.982296,0.975427,0.986215,0.010788,0.978832,0.965627,0.988612,0.898003,0.992218,720,0.991069,0.987561,0.99306,0.005499,0.989267,0.982513,0.994273,0.946261,0.996094,0.00117,720,0.001167,720,0.695312,720,0.0,720,,0,0.105956,720
12,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.982258,0.975353,0.986215,0.010862,0.978801,0.9657,0.988469,0.898071,0.992218,720,0.99105,0.987523,0.99306,0.005537,0.989251,0.982551,0.994201,0.946299,0.996094,0.00117,720,0.00117,720,0.695312,720,0.0,720,,0,0.105778,720
12,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.993411,0.99084,0.995054,0.004214,0.991867,0.986125,0.996401,0.913606,0.998499,720,0.996695,0.995399,0.997521,0.002122,0.995907,0.993014,0.998197,0.954853,0.999249,0.001684,720,0.001682,720,0.171875,720,0.0,720,,0,1e-06,720
12,0.9,nvfp4,0.1,720,False,native,720,0.975954,0.964146,0.982317,0.018171,0.971025,0.952021,0.986866,0.805507,0.992069,720,0.987831,0.981746,0.991079,0.009334,0.985209,0.975421,0.993389,0.892278,0.996019,0.001684,720,0.001689,720,0.554688,720,0.0,720,,0,0.105956,720
12,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.975807,0.963965,0.98228,0.018315,0.971005,0.951463,0.986866,0.805629,0.992218,720,0.987755,0.981652,0.991061,0.009409,0.985198,0.975128,0.993389,0.892353,0.996094,0.001684,720,0.001701,720,0.554688,720,0.0,720,,0,0.105778,720
13,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.995082,0.993649,0.996064,0.002415,0.994281,0.990864,0.996744,0.976464,0.998333,720,0.997535,0.996814,0.998028,0.001214,0.99713,0.995411,0.998369,0.988092,0.999166,0.001182,720,0.001173,720,0.246094,720,0.0,720,,0,1e-06,720
13,0.8,nvfp4,0.2,720,False,native,720,0.982147,0.975649,0.98614,0.010491,0.978925,0.965781,0.988537,0.903483,0.99267,720,0.990993,0.987674,0.993022,0.005347,0.989316,0.982593,0.994235,0.949295,0.996321,0.001182,720,0.001163,720,0.697266,720,0.0,720,,0,0.105943,720
13,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.982147,0.975853,0.986066,0.010213,0.978883,0.965986,0.988462,0.903346,0.992745,720,0.990993,0.987779,0.992984,0.005205,0.989294,0.982699,0.994198,0.949219,0.996359,0.001182,720,0.001161,720,0.699219,720,0.0,720,,0,0.105772,720
