arm,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics,region
R4L,0.8,"repr=bf16, pool=bf16/low, score=bf16/low",bf16_acc_bf16,bf16,native,8640,0.972692926345715,0.017673496734431526,0.924878773566394,0.986157463592233,0.9996975642948394,0.0055694580078125,0.85546875,1.42578125,0.9865893166578769,0.9676877728442969,101.0,249,0,0.001117762958539584,0.0053130244076290065,0.11206340044736862,0.9951256513595581,0.1120869442820549,-2.1398067474365234e-05,0.0003635399043560028,0.00034720338881015777,0.0017503864760365316,0.00832208159368584,0.45092592592592595,0.002063799649477005,-96.44794568245125,96.44794568245125,0.7188657407407407,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16,broad
R5L,0.8,"repr=nvfp4, pool=bf16/low, score=bf16/low",bf16_acc_bf16,nvfp4,native,8640,0.9671372892308165,0.01808275059792719,0.9170418463491126,0.9832941444174756,0.999498130568933,0.00672149658203125,0.90625,1.720703125,0.977352830896138,0.9718815435237811,101.0,249,0,0.001117762958539584,0.006780659499035926,0.11209533363580704,0.9951013922691345,0.1120869442820549,1.216307282447815e-05,0.00044978270307183266,0.0006326258182525635,0.0023710149524154493,0.011799897930005576,0.522337962962963,0.002464715391397476,202.63920367534456,202.63920367534456,0.7129629629629629,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16,broad
R6,0.8,"repr=bf16, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",fp8,bf16,native,8640,0.969524947714371,0.011828860865937596,0.9322878499193903,0.9845266990291263,0.9993077898038526,0.0062255859375,0.89453125,1.59375,0.969524947714371,0.9651947084032048,0.0,1,0,0.001117762958539584,0.006207019758300236,0.11218300461769104,0.9951134622097015,0.1120869442820549,1.676008105278015e-05,0.0003211274743080139,0.0005590945482254028,0.0016654315537195294,0.008663662502093227,0.5410879629629629,0.0022956207394599915,136.9695487886197,136.9695487886197,0.6973379629629629,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_fp8_e4m3_per_head_amax,score=fp8_e4m3_torch_scaled_mm_acc_fp32_native,broad
R7,0.8,"repr=nvfp4, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",fp8,nvfp4,native,8640,0.9649750353975706,0.013600118153821672,0.9243168687280348,0.9821753640776699,0.9991242113670855,0.007171630859375,0.92578125,1.8359375,0.9649750353975706,0.9694513948537924,0.0,1,0,0.001117762958539584,0.007310793561546425,0.1121281310915947,0.995095819234848,0.1120869442820549,5.161203444004059e-05,0.00042493175715208054,0.0008790828287601471,0.002289189244894634,0.012133548299007637,0.5908564814814815,0.002650963142514229,51.363275470063876,51.363275470063876,0.6907407407407408,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_fp8_e4m3_per_head_amax,score=fp8_e4m3_torch_scaled_mm_acc_fp32_native,broad
R8,0.8,"repr=bf16, pool=fp32+nvfp4/native, score=fp32/native",nvfp4_like,bf16,simulated,8640,0.9117636396592351,0.027791301830817128,0.8381894173108622,0.9538455703883495,0.9940937985516171,0.0185699462890625,1.0,4.75390625,0.9117636396592351,0.911971575665289,0.0,5,0,0.001117762958539584,0.02152749551343803,0.11256543546915054,0.9950505793094635,0.1120869442820549,0.00024053500965237617,0.0011710524559020996,0.00210330318659544,0.007272751245522093,0.029089958092092492,0.6357638888888889,0.00713689811527729,29.67093283257025,29.67093283257025,0.6935185185185185,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_nvfp4_e2m1_per16_e4m3_sf,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,broad
R9,0.8,"repr=nvfp4, pool=fp32+nvfp4/native, score=fp32/native",nvfp4_like,nvfp4,simulated,8640,0.9099634203759371,0.02822314196928588,0.8347391805334489,0.9528595266990292,0.9938315271598082,0.0189666748046875,1.0,4.85546875,0.9099634203759371,0.9125956551699126,0.0,4,0,0.001117762958539584,0.022071658493710893,0.11268024519085884,0.9950468242168427,0.1120869442820549,0.0002888515591621399,0.0012783557176589966,0.002474454790353775,0.00804913912608549,0.03384511032113771,0.6587962962962963,0.007378729060292244,25.545055327710283,25.545055327710283,0.6927083333333334,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_nvfp4_e2m1_per16_e4m3_sf,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,broad
R0,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,7200,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9839735149166698,0.0,0,0,0.0011268568815426463,,0.12347480654716492,0.9935356378555298,0.12347480654716492,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64,unaffected
R1,0.8,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,7200,0.9839735149166698,0.008275909572382445,0.9689366786140979,0.9919220266990292,0.9997779414085186,0.0032501220703125,0.65625,0.83203125,0.9839735149166698,,0.0,0,0,0.0011268568815426463,0.0027166645987113528,0.12347226217389107,0.9935399889945984,0.12347480654716492,2.870708703994751e-05,0.00022254744544625282,0.0003556139767169952,0.0008870610202368407,0.0056528908727342874,0.5813888888888888,0.0003479905426502228,12.122112639501687,12.122112639501687,0.5875,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64,unaffected
R2,0.8,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,7200,1.0,0.0,1.0,1.0,0.9999999993015054,0.0,0.0,0.0,1.0,0.9839735149166698,0.0,1,0,0.0011268568815426463,4.850230450347219e-08,0.12347480654716492,0.9935356378555298,0.12347480654716492,0.0,0.0,0.0,0.0,0.0,0.0031944444444444446,0.0,,,0.0038888888888888888,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,unaffected
R3,0.8,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,7200,0.9839735149166698,0.008275909572382445,0.9689366786140979,0.9919220266990292,0.9997779436349625,0.0032501220703125,0.65625,0.83203125,0.9839735149166698,1.0,0.0,1,0,0.0011268568815426463,0.0027166645987113528,0.12347226217389107,0.9935399889945984,0.12347480654716492,2.870708703994751e-05,0.0002226182259619236,0.0003556139767169952,0.0008870610202368407,0.0056528908727342874,0.5813888888888888,0.00035962462425231934,12.527381261354789,12.527381261354789,0.5898611111111111,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,unaffected
