arm,layer,sparsity,intervention_kind,purpose,representation,pool,score,selection_rule,n_cells,jaccard_median,jaccard_iqr,recall_median,spearman_rho_vs_exact_median,swaps_per_query_block_median,frac_query_blocks_changed_median,frac_decisions_changed_median,frac_cells_mask_identical_to_deployed,changed_pair_gap_fp64_median,reference_margin_norm_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,signed_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_deployed,random_matched_excess_median,isolation_ratio_abs,frac_cells_random_worse_than_arm,representation_saturation_frac_median,deployed_score_ties_median,exact_ties_fp64_total,selector_budget_violating_rows_total,selector_budget_violating_frac_max,pool_semantics,score_semantics,select_semantics
V0,18,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999893856436199,0.0,0.0,0.0,1.0,,0.000844815549368149,0.4162144064903259,0.946549117565155,0.4162144064903259,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,355.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,18,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999893856436199,0.0,0.0,0.0,1.0,,0.0013204970096601404,0.5466905832290649,0.9093749225139618,0.5466905832290649,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,316.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,18,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999893856436199,0.0,0.0,0.0,1.0,,0.0021557764826145662,0.6646862626075745,0.8704415559768677,0.6646862626075745,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,256.5,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,19,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999808914142367,0.0,0.0,0.0,1.0,,0.0008357005606032608,0.16385933011770248,0.9878053367137909,0.16385933011770248,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,313.0,0,72,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,19,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999808914142367,0.0,0.0,0.0,1.0,,0.0013151191537665568,0.22712009400129318,0.9776186645030975,0.22712009400129318,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,283.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,19,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999808914142367,0.0,0.0,0.0,1.0,,0.002206270841639388,0.2825497090816498,0.9686525166034698,0.2825497090816498,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,223.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,2,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999654984272358,0.0,0.0,0.0,1.0,,0.0008350676344624959,0.14060808718204498,0.9904057085514069,0.14060808718204498,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,258.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,2,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999654984272358,0.0,0.0,0.0,1.0,,0.0012332712924069547,0.20354214310646057,0.9803852736949921,0.20354214310646057,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,263.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,2,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999654984272358,0.0,0.0,0.0,1.0,,0.001968827157948042,0.2570823132991791,0.9698545336723328,0.2570823132991791,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,217.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,20,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999871817842869,0.0,0.0,0.0,1.0,,0.000839242237067129,0.1389370858669281,0.9911029934883118,0.1389370858669281,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,280.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,20,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999871817842869,0.0,0.0,0.0,1.0,,0.0012480508840945798,0.19621066004037857,0.9834837317466736,0.19621066004037857,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,267.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
