comparison,sparsity,relative_reduction
E_to_F8,0.8,-0.00571951761473658
E_to_F8,0.8,-0.005709027902680918
E_to_F8,0.8,-0.005709027902680918
E_to_F8,0.8,-0.005695028226640931
E_to_F8,0.8,-0.005653470202654326
E_to_F8,0.8,-0.005647194416016685
E_to_F8,0.8,-0.005637139241365025
E_to_F8,0.8,-0.005635921421036818
E_to_F8,0.8,-0.005614987982221745
E_to_F8,0.8,-0.005593839402389844
E_to_F8,0.8,-0.005590734120376032
E_to_F8,0.8,-0.005584715905081075
E_to_F8,0.8,-0.005581987311610794
E_to_F8,0.8,-0.005575137706286725
E_to_F8,0.8,-0.005574801377372747
E_to_F8,0.8,-0.005572932917698706
E_to_F8,0.8,-0.0055628628776671595
E_to_F8,0.8,-0.0055628628776671595
E_to_F8,0.8,-0.0055447664701125336
E_to_F8,0.8,-0.005508639116115187
E_to_F8,0.8,-0.005456883388250422
E_to_F8,0.8,-0.005456371365001861
E_to_F8,0.8,-0.0054474810705048135
E_to_F8,0.8,-0.00543507338712447
E_to_F8,0.8,-0.005425066125297902
E_to_F8,0.8,-0.005425066125297902
E_to_F8,0.8,-0.005419740320374349
E_to_F8,0.8,-0.005418327552112416
E_to_F8,0.8,-0.0054137490924059985
E_to_F8,0.8,-0.0054137490924059985
E_to_F8,0.8,-0.0054101372552689524
E_to_F8,0.8,-0.005399595791076371
E_to_F8,0.8,-0.00539858717529045
E_to_F8,0.8,-0.00539858717529045
E_to_F8,0.8,-0.005386277956495997
E_to_F8,0.8,-0.0053830795159852465
E_to_F8,0.8,-0.005377760542333052
E_to_F8,0.8,-0.005355352814419771
E_to_F8,0.8,-0.005353388461412445
E_to_F8,0.8,-0.005346099061384591
E_to_F8,0.8,-0.005343155262216795
E_to_F8,0.8,-0.005323131625370952
E_to_F8,0.8,-0.005291149390454265
E_to_F8,0.8,-0.005287516060387557
E_to_F8,0.8,-0.005259381342696968
E_to_F8,0.8,-0.005254615340444164
E_to_F8,0.8,-0.005252909074361629
E_to_F8,0.8,-0.005251384774601349
E_to_F8,0.8,-0.005248208217363537
E_to_F8,0.8,-0.005240624712107822
E_to_F8,0.8,-0.005238024222331305
E_to_F8,0.8,-0.005236568445569261
E_to_F8,0.8,-0.00522595901668606
E_to_F8,0.8,-0.00522330746977083
E_to_F8,0.8,-0.005192457789333322
E_to_F8,0.8,-0.005175633911323558
E_to_F8,0.8,-0.005155663049152121
E_to_F8,0.8,-0.005145741551563224
E_to_F8,0.8,-0.0051351340903731755
E_to_F8,0.8,-0.0051351340903731755
E_to_F8,0.8,-0.0051330066646920625
E_to_F8,0.8,-0.00513159783813208
E_to_F8,0.8,-0.005126439528083274
E_to_F8,0.8,-0.0051112788804103
E_to_F8,0.8,-0.005059262761388248
E_to_F8,0.8,-0.005042163677269673
E_to_F8,0.8,-0.005037016590376904
E_to_F8,0.8,-0.005033355129770282
E_to_F8,0.8,-0.0050290413754960385
E_to_F8,0.8,-0.005018930141600297
E_to_F8,0.8,-0.005017889741807035
E_to_F8,0.8,-0.005003831989686179
E_to_F8,0.8,-0.005002843142628687
E_to_F8,0.8,-0.005002843142628687
E_to_F8,0.8,-0.004982969127806976
E_to_F8,0.8,-0.0049719453959377324
E_to_F8,0.8,-0.004946788890820791
E_to_F8,0.8,-0.004933274025962212
E_to_F8,0.8,-0.0049216746466795
E_to_F8,0.8,-0.0049180185964354224
E_to_F8,0.8,-0.0049175965926852565
E_to_F8,0.8,-0.004917404542896892
E_to_F8,0.8,-0.004915807010129531
E_to_F8,0.8,-0.0049152717374939025
E_to_F8,0.8,-0.004902474869809231
E_to_F8,0.8,-0.004869450954989194
E_to_F8,0.8,-0.004868588781303726
E_to_F8,0.8,-0.004830882023015193
E_to_F8,0.8,-0.004826405708293732
E_to_F8,0.8,-0.004826405708293732
E_to_F8,0.8,-0.00481116157413759
E_to_F8,0.8,-0.0048061023571028165
E_to_F8,0.8,-0.00479630258328373
E_to_F8,0.8,-0.004792388742386951
E_to_F8,0.8,-0.004791094939330317
E_to_F8,0.8,-0.004789635352075542
E_to_F8,0.8,-0.00478524414358716
E_to_F8,0.8,-0.004780587347462241
E_to_F8,0.8,-0.004780587347462241
E_to_F8,0.8,-0.004769231722074053
E_to_F8,0.8,-0.004751511228885127
E_to_F8,0.8,-0.004751363353948244
E_to_F8,0.8,-0.004743855246565249
E_to_F8,0.8,-0.0047409127675683786
E_to_F8,0.8,-0.004740087459349202
E_to_F8,0.8,-0.004738338725575705
E_to_F8,0.8,-0.004738338725575705
E_to_F8,0.8,-0.004736820738678277
E_to_F8,0.8,-0.004736820738678277
E_to_F8,0.8,-0.004729658638729007
E_to_F8,0.8,-0.004719762188389582
E_to_F8,0.8,-0.004719762188389582
E_to_F8,0.8,-0.00471800206047854
E_to_F8,0.8,-0.004710579473562006
E_to_F8,0.8,-0.004698962867310454
E_to_F8,0.8,-0.004697093829114398
E_to_F8,0.8,-0.004697070019184405
E_to_F8,0.8,-0.00467970734235046
E_to_F8,0.8,-0.004674389011645458
E_to_F8,0.8,-0.004667693408993531
E_to_F8,0.8,-0.004666018472484577
E_to_F8,0.8,-0.004665591726716879
E_to_F8,0.8,-0.004665350136264478
E_to_F8,0.8,-0.0046555176166721834
E_to_F8,0.8,-0.004631053625508108
E_to_F8,0.8,-0.004630495232634281
E_to_F8,0.8,-0.004628727186526906
E_to_F8,0.8,-0.004628727186526906
E_to_F8,0.8,-0.004598515295634246
E_to_F8,0.8,-0.004592074561946058
E_to_F8,0.8,-0.004579072283863008
E_to_F8,0.8,-0.004579072283863008
E_to_F8,0.8,-0.004555912611895831
